email_text,feature1_subject_length,feature2_body_length,feature3_exclamation_count,feature4_capital_ratio,feature5_has_free,feature6_has_offer,feature7_has_urgent,feature8_num_links,feature9_has_attachment,feature10_is_known_domain,label
"Asunto: ¡Prueba Nuestro Servicio Gratis!
Cuerpo: Promoción exclusiva: Compra uno y lleva otro gratis. ¡Actúa rápido antes de que se agote! http://rc9RnW37.com",32,109,1,0.045871559633027525,1,0,1,5,1,1,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://wOCnIlu5.com.",29,86,0,0.06976744186046512,0,1,1,1,1,1,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://Zh6RzjkX.com.",19,93,1,0.06451612903225806,1,0,0,1,1,1,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://nE70U8se.com.",19,86,0,0.05813953488372093,0,0,1,5,1,0,SPAM
"Asunto: ¡Haz Clic para Ahorros Instantáneos!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://QbmoOyzz.com.",36,93,1,0.053763440860215055,1,0,0,4,1,1,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: ¡Has ganado un premio! Entra para reclamar tu regalo gratis. Detalles en http://DJJ5RqiZ.com.",32,93,1,0.08602150537634409,1,1,0,5,1,0,SPAM
"Asunto: ¡Promoción VIP Exclusiva!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://UQQ9BDC3.com.",25,118,1,0.0847457627118644,1,0,1,2,0,0,SPAM
"Asunto: ¡Alerta de Oferta Personalizada!
Cuerpo: Reclama tus muestras gratis ahora. Sin compra necesaria. ¡Date prisa, termina pronto! Haz clic en http://r8fryvHx.com.",32,118,1,0.0423728813559322,1,1,1,5,1,0,SPAM
"Asunto: ¡Oferta Increíble en Gadgets!
Cuerpo: ¡Hola! No te pierdas esta oferta increíble en gadgets top. 20% off con código d80D8q. ¡Stock limitado! Visita http://2NUzcIb6.com.",29,130,2,0.06153846153846154,0,1,1,4,1,0,SPAM
"Asunto: ¡Venta Flash Ahora!
Cuerpo: Descuento especial para ti: Ahorra mucho en moda. Compra ahora en http://wAz3LNYb.com.",19,86,0,0.08139534883720931,0,0,1,2,0,0,SPAM
